,Recall@1,Recall@5,Recall@10,MRR,mAP,Avg Time (s)
Gemini Original,0.8995002776235425,0.9666851749028318,0.9847307051637979,0.9289053479989079,0.8833751046509246,1.0445671026096577
Gemini 512,0.9119933370349805,0.9680732926152138,0.9833425874514159,0.9361815085093826,0.9015489503325953,0.9037128179898728
ResNet50 Classification,0.6404775124930594,0.8167684619655747,0.890893947806774,0.7171412707226144,0.6223662731847841,0.03662052992794841
ResNet50 Triplet,0.8170460855080511,0.9169905607995558,0.9444752915047196,0.8599006944995293,0.8315189262540525,0.018288252137703086
